team_season_key,team_id,season_year,team_full_name,team_city,team_name,team_abbrev,league,season_founded,season_active_till
9006_1950,9006,1950,Belgrade Partizan,Belgrade,Partizan,PAR  ,EuroLeague,1945,2100
9006_1951,9006,1951,Belgrade Partizan,Belgrade,Partizan,PAR  ,EuroLeague,1945,2100
9006_1952,9006,1952,Belgrade Partizan,Belgrade,Partizan,PAR  ,EuroLeague,1945,2100
9006_1953,9006,1953,Belgrade Partizan,Belgrade,Partizan,PAR  ,EuroLeague,1945,2100
9006_1954,9006,1954,Belgrade Partizan,Belgrade,Partizan,PAR  ,EuroLeague,1945,2100
9006_1955,9006,1955,Belgrade Partizan,Belgrade,Partizan,PAR  ,EuroLeague,1945,2100
9006_1956,9006,1956,Belgrade Partizan,Belgrade,Partizan,PAR  ,EuroLeague,1945,2100
9006_1957,9006,1957,Belgrade Partizan,Belgrade,Partizan,PAR  ,EuroLeague,1945,2100
9006_1958,9006,1958,Belgrade Partizan,Belgrade,Partizan,PAR  ,EuroLeague,1945,2100
9006_1959,9006,1959,Belgrade Partizan,Belgrade,Partizan,PAR  ,EuroLeague,1945,2100
9006_1960,9006,1960,Belgrade Partizan,Belgrade,Partizan,PAR  ,EuroLeague,1945,2100
9006_1961,9006,1961,Belgrade Partizan,Belgrade,Partizan,PAR  ,EuroLeague,1945,2100
9006_1962,9006,1962,Belgrade Partizan,Belgrade,Partizan,PAR  ,EuroLeague,1945,2100
9006_1963,9006,1963,Belgrade Partizan,Belgrade,Partizan,PAR  ,EuroLeague,1945,2100
9006_1964,9006,1964,Belgrade Partizan,Belgrade,Partizan,PAR  ,EuroLeague,1945,2100
9006_1965,9006,1965,Belgrade Partizan,Belgrade,Partizan,PAR  ,EuroLeague,1945,2100
